user,week,logon_count,off_hours_ratio,usb_events,file_access_count,copy_to_removable_count,email_count,email_attachment_count,avg_attachment_size,http_total_count,http_upload_count,http_download_count,role,department,business_unit,is_malicious
AAE0190,2010-01-04,10,1.0,0.0,0.0,0.0,68.0,37.0,32423.45588235294,715.0,6.0,3.0,Manager,1 - Purchasing,1,0
AAE0190,2010-01-11,10,1.0,0.0,0.0,0.0,69.0,13.0,28913.304347826088,715.0,5.0,9.0,Manager,1 - Purchasing,1,0
AAE0190,2010-01-18,10,1.0,0.0,0.0,0.0,66.0,29.0,29758.560606060608,715.0,1.0,8.0,Manager,1 - Purchasing,1,0
AAE0190,2010-01-25,10,1.0,0.0,0.0,0.0,67.0,33.0,32899.65671641791,715.0,1.0,6.0,Manager,1 - Purchasing,1,0
AAE0190,2010-02-01,10,1.0,0.0,0.0,0.0,68.0,38.0,28739.867647058825,715.0,2.0,3.0,Manager,1 - Purchasing,1,0
AAE0190,2010-02-08,10,1.0,0.0,0.0,0.0,68.0,23.0,30068.41176470588,715.0,0.0,0.0,Manager,1 - Purchasing,1,0
AAE0190,2010-02-15,10,1.0,0.0,0.0,0.0,69.0,33.0,31955.072463768116,715.0,2.0,3.0,Manager,1 - Purchasing,1,0
AAE0190,2010-02-22,10,1.0,0.0,0.0,0.0,69.0,23.0,30081.405797101448,715.0,5.0,11.0,Manager,1 - Purchasing,1,0
AAE0190,2010-03-01,10,1.0,0.0,0.0,0.0,67.0,30.0,28503.761194029852,715.0,0.0,11.0,Manager,1 - Purchasing,1,0
AAE0190,2010-03-08,10,1.0,0.0,0.0,0.0,70.0,33.0,31637.52857142857,715.0,3.0,5.0,Manager,1 - Purchasing,1,0
AAE0190,2010-03-15,10,1.0,0.0,0.0,0.0,68.0,21.0,31446.191176470587,715.0,5.0,4.0,Manager,1 - Purchasing,1,0
AAE0190,2010-03-22,10,1.0,0.0,0.0,0.0,70.0,22.0,29481.22857142857,715.0,5.0,7.0,Manager,1 - Purchasing,1,0
AAE0190,2010-03-29,8,1.0,0.0,0.0,0.0,54.0,23.0,28651.555555555555,572.0,0.0,6.0,Manager,1 - Purchasing,1,0
AAE0190,2010-04-05,10,1.0,0.0,0.0,0.0,70.0,32.0,29911.157142857144,715.0,2.0,5.0,Manager,1 - Purchasing,1,0
AAE0190,2010-04-12,10,1.0,0.0,0.0,0.0,69.0,15.0,31088.797101449276,715.0,7.0,4.0,Manager,1 - Purchasing,1,0
AAE0190,2010-04-19,10,1.0,0.0,0.0,0.0,69.0,28.0,30917.391304347828,715.0,1.0,4.0,Manager,1 - Purchasing,1,0
AAE0190,2010-04-26,10,1.0,0.0,0.0,0.0,69.0,49.0,29637.014492753624,715.0,14.0,1.0,Manager,1 - Purchasing,1,0
AAE0190,2010-05-03,10,1.0,0.0,0.0,0.0,65.0,11.0,29600.507692307692,715.0,2.0,4.0,Manager,1 - Purchasing,1,0
AAE0190,2010-05-10,10,1.0,0.0,0.0,0.0,70.0,14.0,28404.9,715.0,1.0,3.0,Manager,1 - Purchasing,1,0
AAE0190,2010-05-17,10,1.0,0.0,0.0,0.0,70.0,21.0,30558.6,715.0,3.0,2.0,Manager,1 - Purchasing,1,0
AAE0190,2010-05-24,10,1.0,0.0,0.0,0.0,67.0,16.0,29186.194029850747,715.0,1.0,6.0,Manager,1 - Purchasing,1,0
AAE0190,2010-05-31,8,1.0,0.0,0.0,0.0,56.0,13.0,29054.23214285714,572.0,0.0,35.0,Manager,1 - Purchasing,1,0
AAE0190,2010-06-07,10,1.0,0.0,0.0,0.0,69.0,22.0,31364.898550724636,715.0,2.0,16.0,Manager,1 - Purchasing,1,0
AAE0190,2010-06-14,10,1.0,0.0,0.0,0.0,66.0,25.0,30174.378787878788,715.0,1.0,3.0,Manager,1 - Purchasing,1,0
AAE0190,2010-06-21,10,1.0,0.0,0.0,0.0,70.0,18.0,29446.27142857143,715.0,4.0,7.0,Manager,1 - Purchasing,1,0
AAE0190,2010-06-28,10,1.0,0.0,0.0,0.0,70.0,28.0,30322.5,715.0,3.0,5.0,Manager,1 - Purchasing,1,0
AAE0190,2010-07-05,8,1.0,0.0,0.0,0.0,54.0,20.0,30847.296296296296,572.0,3.0,20.0,Manager,1 - Purchasing,1,0
AAE0190,2010-07-12,10,1.0,0.0,0.0,0.0,70.0,20.0,29219.814285714285,715.0,4.0,3.0,Manager,1 - Purchasing,1,0
AAE0190,2010-07-19,10,1.0,0.0,0.0,0.0,70.0,20.0,29774.657142857144,715.0,1.0,8.0,Manager,1 - Purchasing,1,0
AAE0190,2010-07-26,10,1.0,0.0,0.0,0.0,69.0,30.0,29781.36231884058,715.0,1.0,0.0,Manager,1 - Purchasing,1,0
AAE0190,2010-08-02,10,1.0,0.0,0.0,0.0,70.0,23.0,30626.214285714286,715.0,3.0,1.0,Manager,1 - Purchasing,1,0
AAE0190,2010-08-09,10,1.0,0.0,0.0,0.0,68.0,33.0,27724.5,715.0,0.0,3.0,Manager,1 - Purchasing,1,0
AAE0190,2010-08-16,10,1.0,0.0,0.0,0.0,66.0,31.0,30986.31818181818,715.0,12.0,4.0,Manager,1 - Purchasing,1,0
AAE0190,2010-08-23,10,1.0,0.0,0.0,0.0,60.0,24.0,30989.5,715.0,1.0,4.0,Manager,1 - Purchasing,1,0
AAE0190,2010-08-30,10,1.0,0.0,0.0,0.0,70.0,35.0,29765.4,715.0,6.0,0.0,Manager,1 - Purchasing,1,0
AAE0190,2010-09-06,8,1.0,0.0,0.0,0.0,55.0,24.0,28762.8,572.0,2.0,1.0,Manager,1 - Purchasing,1,0
AAE0190,2010-09-13,10,1.0,0.0,0.0,0.0,70.0,13.0,29581.114285714284,715.0,4.0,0.0,Manager,1 - Purchasing,1,0
AAE0190,2010-09-20,10,1.0,0.0,0.0,0.0,70.0,19.0,29137.6,715.0,1.0,5.0,Manager,1 - Purchasing,1,0
AAE0190,2010-09-27,10,1.0,0.0,0.0,0.0,70.0,38.0,28231.314285714285,715.0,2.0,7.0,Manager,1 - Purchasing,1,0
AAE0190,2010-10-04,10,1.0,0.0,0.0,0.0,70.0,33.0,30903.114285714284,715.0,4.0,2.0,Manager,1 - Purchasing,1,0
AAE0190,2010-10-11,10,1.0,0.0,0.0,0.0,70.0,28.0,31499.557142857142,715.0,1.0,8.0,Manager,1 - Purchasing,1,0
AAE0190,2010-10-18,10,1.0,0.0,0.0,0.0,66.0,16.0,29401.545454545456,715.0,2.0,23.0,Manager,1 - Purchasing,1,0
AAE0190,2010-10-25,10,1.0,0.0,0.0,0.0,70.0,45.0,31343.3,715.0,4.0,8.0,Manager,1 - Purchasing,1,0
AAE0190,2010-11-01,10,1.0,0.0,0.0,0.0,69.0,28.0,28516.072463768116,715.0,6.0,8.0,Manager,1 - Purchasing,1,0
AAE0190,2010-11-08,10,1.0,0.0,0.0,0.0,70.0,20.0,28661.128571428573,715.0,9.0,1.0,Manager,1 - Purchasing,1,0
AAE0190,2010-11-15,10,1.0,0.0,0.0,0.0,70.0,32.0,30416.2,715.0,5.0,3.0,Manager,1 - Purchasing,1,0
AAE0190,2010-11-22,6,1.0,0.0,0.0,0.0,41.0,16.0,28601.19512195122,429.0,0.0,9.0,Manager,1 - Purchasing,1,0
AAE0190,2010-11-29,10,1.0,0.0,0.0,0.0,70.0,25.0,30113.52857142857,715.0,19.0,10.0,Manager,1 - Purchasing,1,0
AAE0190,2010-12-06,10,1.0,0.0,0.0,0.0,58.0,16.0,31261.379310344826,715.0,4.0,1.0,Manager,1 - Purchasing,1,0
AAE0190,2010-12-13,10,1.0,0.0,0.0,0.0,61.0,27.0,29159.475409836065,715.0,3.0,6.0,Manager,1 - Purchasing,1,0
AAE0190,2010-12-20,6,1.0,0.0,0.0,0.0,42.0,12.0,30247.04761904762,429.0,1.0,7.0,Manager,1 - Purchasing,1,0
AAE0190,2010-12-27,8,1.0,0.0,0.0,0.0,56.0,28.0,32889.67857142857,572.0,5.0,2.0,Manager,1 - Purchasing,1,0
AAE0190,2011-01-03,10,1.0,0.0,0.0,0.0,70.0,27.0,29661.371428571427,715.0,5.0,13.0,Manager,1 - Purchasing,1,0
AAE0190,2011-01-10,10,1.0,0.0,0.0,0.0,70.0,22.0,30622.514285714286,715.0,5.0,5.0,Manager,1 - Purchasing,1,0
AAE0190,2011-01-17,10,1.0,0.0,0.0,0.0,67.0,33.0,30091.149253731342,715.0,1.0,5.0,Manager,1 - Purchasing,1,0
AAE0190,2011-01-24,10,1.0,0.0,0.0,0.0,69.0,16.0,30561.579710144928,715.0,3.0,11.0,Manager,1 - Purchasing,1,0
AAE0190,2011-01-31,10,1.0,0.0,0.0,0.0,70.0,28.0,30245.371428571427,715.0,1.0,1.0,Manager,1 - Purchasing,1,0
AAE0190,2011-02-07,10,1.0,0.0,0.0,0.0,70.0,30.0,29118.414285714287,715.0,5.0,3.0,Manager,1 - Purchasing,1,0
AAE0190,2011-02-14,10,1.0,0.0,0.0,0.0,66.0,21.0,29209.81818181818,715.0,4.0,13.0,Manager,1 - Purchasing,1,0
AAE0190,2011-02-21,10,1.0,0.0,0.0,0.0,67.0,21.0,28179.492537313432,715.0,8.0,4.0,Manager,1 - Purchasing,1,0
AAE0190,2011-02-28,10,1.0,0.0,0.0,0.0,70.0,16.0,29453.928571428572,715.0,1.0,1.0,Manager,1 - Purchasing,1,0
AAE0190,2011-03-07,10,1.0,0.0,0.0,0.0,68.0,21.0,30576.41176470588,715.0,2.0,0.0,Manager,1 - Purchasing,1,0
AAE0190,2011-03-14,10,1.0,0.0,0.0,0.0,69.0,27.0,31272.623188405796,715.0,2.0,6.0,Manager,1 - Purchasing,1,0
AAE0190,2011-03-21,10,1.0,0.0,0.0,0.0,52.0,19.0,27464.55769230769,715.0,1.0,16.0,Manager,1 - Purchasing,1,0
AAE0190,2011-03-28,10,1.0,0.0,0.0,0.0,69.0,33.0,29721.855072463768,715.0,2.0,3.0,Manager,1 - Purchasing,1,0
AAE0190,2011-04-04,10,1.0,0.0,0.0,0.0,66.0,37.0,30237.727272727272,715.0,8.0,7.0,Manager,1 - Purchasing,1,0
AAE0190,2011-04-11,10,1.0,0.0,0.0,0.0,69.0,24.0,29663.014492753624,715.0,7.0,8.0,Manager,1 - Purchasing,1,0
AAE0190,2011-04-18,8,1.0,0.0,0.0,0.0,52.0,16.0,31477.673076923078,572.0,0.0,6.0,Manager,1 - Purchasing,1,0
AAE0190,2011-04-25,10,1.0,0.0,0.0,0.0,69.0,18.0,28538.246376811596,715.0,2.0,7.0,Manager,1 - Purchasing,1,0
AAE0190,2011-05-02,10,1.0,0.0,0.0,0.0,70.0,25.0,28994.8,715.0,2.0,2.0,Manager,1 - Purchasing,1,0
AAE0190,2011-05-09,10,1.0,0.0,0.0,0.0,69.0,32.0,31888.260869565216,715.0,2.0,4.0,Manager,1 - Purchasing,1,0
AAE0190,2011-05-16,2,1.0,0.0,0.0,0.0,11.0,8.0,37794.181818181816,143.0,0.0,8.0,Manager,1 - Purchasing,1,0
AAF0535,2010-01-04,10,0.2,9.0,10.0,0.0,14.0,13.0,28728.14285714286,145.0,0.0,1.0,Technician,3 - FieldService,1,0
AAF0535,2010-01-11,10,0.3,7.0,5.0,0.0,15.0,14.0,31534.2,145.0,0.0,4.0,Technician,3 - FieldService,1,0
AAF0535,2010-01-18,10,0.2,12.0,10.0,0.0,14.0,16.0,29145.35714285714,145.0,0.0,1.0,Technician,3 - FieldService,1,0
AAF0535,2010-01-25,10,0.3,11.0,3.0,0.0,15.0,10.0,27462.333333333332,145.0,0.0,0.0,Technician,3 - FieldService,1,0
AAF0535,2010-02-01,10,0.1,11.0,17.0,0.0,15.0,15.0,28481.6,145.0,0.0,1.0,Technician,3 - FieldService,1,0
AAF0535,2010-02-08,10,0.2,8.0,4.0,0.0,15.0,12.0,33149.73333333333,145.0,0.0,1.0,Technician,3 - FieldService,1,0
AAF0535,2010-02-15,10,0.2,6.0,9.0,0.0,15.0,13.0,29041.733333333334,145.0,0.0,3.0,Technician,3 - FieldService,1,0
AAF0535,2010-02-22,10,0.1,9.0,13.0,0.0,13.0,18.0,30153.46153846154,145.0,1.0,0.0,Technician,3 - FieldService,1,0
